,Weapon,Skin Name,Situation,StatTrak,Souvenir,Quantity,Lowest Price,Last Sold Price
310,AK-47,Black Laminate,Battle-Scarred, - , - ,26,$34.50 USD,$33.00 USD
311,AK-47,Point Disarray,Battle-Scarred, - , - ,127,$9.83 USD,$9.41 USD
312,AK-47,Neon Rider,Battle-Scarred, - , - ,62,$27.90 USD,$26.69 USD
313,AK-47,Redline,Battle-Scarred,StatTrak, - ,56,$25.24 USD,$24.15 USD
314,AK-47,Predator,Battle-Scarred, - , - ,105,$17.68 USD,$16.92 USD
315,AK-47,Safari Mesh,Battle-Scarred, - ,Souvenir,44,$13.19 USD,$12.62 USD
316,AK-47,Jungle Spray,Battle-Scarred, - , - ,74,$6.27 USD,$6.00 USD
317,AK-47,Neon Revolution,Battle-Scarred,StatTrak, - ,29,$42.57 USD,$40.72 USD
318,AK-47,Point Disarray,Battle-Scarred,StatTrak, - ,25,$23.35 USD,$22.34 USD
319,AK-47,Aquamarine Revenge,Battle-Scarred, - , - ,104,$20.60 USD,$19.71 USD
320,AK-47,Black Laminate,Battle-Scarred, - , - ,26,$34.50 USD,$33.00 USD
321,AK-47,Point Disarray,Battle-Scarred, - , - ,127,$9.83 USD,$9.41 USD
322,AK-47,Neon Rider,Battle-Scarred, - , - ,61,$27.90 USD,$26.69 USD
323,AK-47,Redline,Battle-Scarred,StatTrak, - ,56,$25.24 USD,$24.15 USD
324,AK-47,Predator,Battle-Scarred, - , - ,105,$17.68 USD,$16.92 USD
325,AK-47,Safari Mesh,Battle-Scarred, - ,Souvenir,44,$13.19 USD,$12.62 USD
326,AK-47,Jungle Spray,Battle-Scarred, - , - ,74,$6.27 USD,$6.00 USD
327,AK-47,Neon Revolution,Battle-Scarred,StatTrak, - ,29,$42.57 USD,$40.72 USD
328,AK-47,Point Disarray,Battle-Scarred,StatTrak, - ,25,$23.35 USD,$22.34 USD
329,AK-47,Aquamarine Revenge,Battle-Scarred, - , - ,104,$20.60 USD,$19.71 USD
